Start,Finish,Name of conflict,Belligerents,Defeated,Part of,War link,Wider conflict link
,,nan,Victorious party (if\napplicable),Defeated party (if applicable),,,
1800,1865,Temne War[1],British Empire\nSusu Tribes,Kingdom of Koya,,,
1801,1805,Tripolitan War,United States\nSweden (until 1802)\nSicily,Tripolitania\nMorocco (1802),,https://en.wikipedia.org/wiki/First_Barbary_War,
1801,1801,War of the Oranges\n,France\nSpain,Portugal,War of the\nSecond Coalition,https://en.wikipedia.org/wiki/War_of_the_Oranges,https://en.wikipedia.org/wiki/War_of_the_Second_Coalition
1802,1804,Fourth quarter of the\nHaitian Revolution,Haiti,France,,https://en.wikipedia.org/wiki/Haitian_Revolution,https://en.wikipedia.org/wiki/Haitian_Revolution
1802,1802,Sack of Karbala,Diriyah,Ottoman Empire,,https://en.wikipedia.org/wiki/Wahhabi_sack_of_Karbala,
1802,1802,Stecklikrieg,Helvetic Republic,Federalist rebels,,https://en.wikipedia.org/wiki/Stecklikrieg,
1802,1810,Tedbury's War,British Empire,Australian Aborigines,,https://en.wikipedia.org/wiki/Tedbury,
1803,1803,Souliote War,Ottoman Empire,Souliotes,,https://en.wikipedia.org/wiki/Souliote_War_(1803),
1803,1803,Irish Rebellion of 1803,British Empire,Society of United Irishmen,,https://en.wikipedia.org/wiki/Irish_Rebellion_of_1803,
1803,1805,Second Anglo-Maratha\nWar,British East India Company,Maratha Empire,,https://en.wikipedia.org/wiki/Second_Anglo-Maratha_War,https://en.wikipedia.org/wiki/Second_Anglo-Maratha_War
1803,1805,Burmese–Siamese\nWar (1803–05),Konbaung dynasty,Siam,,https://en.wikipedia.org/wiki/Burmese%E2%80%93Siamese_wars#During_the_Empires_/_Dynasties_of_Konbaung_(Burma)%E2%80%93Rattanakosin_(Siam),https://en.wikipedia.org/wiki/Burmese%E2%80%93Siamese_wars#During_the_Empires_/_Dynasties_of_Konbaung_(Burma)%E2%80%93Rattanakosin_(Siam)
1803,1805,First Kandyan War,British Empire,Kingdom of Kandy,,https://en.wikipedia.org/wiki/First_Kandyan_War,
1803,1815,Napoleonic Wars,Coalition forces:\nAustria[α][a][b]\nPrussia[β]\nRussia[γ][c]\nUnited Kingdom\nBaden\nBavaria[δ]\nBrunswick[ε]\nFrench royalists\nHanover[d]\nHungary[ζ][e]\nLiechtenstein\nMontenegro[η]\nNassau[ε]\nNetherlands[ε]\nOttoman Empire[θ][f]\nPapal States\nPersia[θ][g]\nPortugal[ι],France and allies:\nFrench Republic (until\n1804)\nFrench Empire (from 1804)\nFrench clients:\nBonapartist Spain[i]\nConfederation of the\nRhine[ξ][k][l]\nDuchy of Warsaw[m]\nEtruria[n]\nHolland[o]\nItaly\nLucca-Piombino\nNaples[p]\nPolish Legions[m]\nSwitzerland\nAustria[a][q][ο]\nDenmark–Norway[r][π],,https://en.wikipedia.org/wiki/Napoleonic_Wars,
,,,Sardinia[κ]\nSaxony[δ]\nSicily[λ][h]\nSpain[μ][i]\nSweden[ν][j]\nSwitzerland\nTuscany[ε]\nWürttemberg[δ],Ottoman Empire[ρ][f]\nPersia[σ][g]\nPrussia[θ][q]\nRussia[θ][c]\nSpain[τ][i]\nSweden[υ][j],,,
1803,1806,War of the Third\nCoalition\n,French Empire and allies:\nFrance\nBatavian Republic\nItaly\nEtruria\nSpain\nBavaria\nWürttemberg,Austrian Empire\nRussian Empire\nUnited Kingdom\nNaples and Sicily\nSweden,Napoleonic\nWars,https://en.wikipedia.org/wiki/War_of_the_Third_Coalition,https://en.wikipedia.org/wiki/War_of_the_Third_Coalition
1803,1837,Padri War,Adats\nNetherlands,Padris,,https://en.wikipedia.org/wiki/Padri_War,
1804,1804,1804 Mtiuleti rebellion,Russian Empire,Georgian and Ossetian rebels,,https://en.wikipedia.org/wiki/1804_Mtiuleti_rebellion,
1804,1804,Battle of Suriname,United Kingdom,Batavian Republic,,https://en.wikipedia.org/wiki/Battle_of_Suriname,
1804,1804,Battle of Sitka\n,Russian Empire,Tlingit\nKiks.ádi clan,Russian\ncolonization of the\nAmericas,https://en.wikipedia.org/wiki/Battle_of_Sitka,
1804,1813,First Serbian Uprising\n,Ottoman Empire\nFrance,Revolutionary Serbia\nVolunteers from\nHabsburg monarchy\nRussian Empire,Serbian\nRevolution,https://en.wikipedia.org/wiki/First_Serbian_Uprising,https://en.wikipedia.org/wiki/Serbian_Revolution
1804,1804,Uprising against the\nDahije\n,Karađorđe,Dahije,First\nSerbian Uprising,https://en.wikipedia.org/wiki/First_Serbian_Uprising#Uprising_against_the_Dahije,https://en.wikipedia.org/wiki/First_Serbian_Uprising#Uprising_against_the_Dahije
1804,1804,Castle Hill convict\nrebellion,New South Wales,Convicts,,https://en.wikipedia.org/wiki/Castle_Hill_convict_rebellion,https://en.wikipedia.org/wiki/Castle_Hill_convict_rebellion
